Name,TID,InfoTID,SWF,Speed,Hitpoints,UpgradeTimeH,UpgradeResource,UpgradeCost,RequiredTownHallLevel,AttackRange,AttackSpeed,CoolDownOverride,DPS,PreferedTargetDamageMod,DamageRadius,IconSWF,IconExportName,BigPicture,BigPictureSWF,SmallPicture,SmallPictureSWF,Projectile,RageProjectile,PreferedTargetBuilding,DeployEffect,AttackEffect,AttackEffectAlt,HitEffect,IsFlying,AirTargets,GroundTargets,IsJumper,AttackCount,DieEffect,Animation,MaxSearchRadiusForDefender,HousingSpace,SpecialAbilityEffect,RegenerationTimeMinutes,TrainingTime,TrainingResource,TrainingCost,CelebrateEffect,SleepOffsetX,SleepOffsetY,PatrolRadius,AbilityTriggerEffect,AbilityAffectsHero,AbilityAffectsCharacter,AbilityRadius,AbilityTime,AbilityOnce,AbilityCooldown,AbilitySpeedBoost,AbilitySpeedBoost2,AbilityDamageBoostPercent,AbilitySummonTroop,AbilitySummonTroopCount,AbilityStealth,AbilityDamageBoostOffset,AbilityHealthIncrease,AbilityShieldProjectileSpeed,AbilityShieldProjectileDamageMod,AbilityTID,AbilityDescTID,AbilityIcon,AbilityBigPictureExportName,AbilityDelay,StrengthWeight,StrengthWeight2,AlertRadius,Scale,AuraSpell,AuraSpellLevel,AuraTID,AuraDescTID,AuraBigPictureExportName,AbilitySpell,AbilitySpellLevel,RetributionSpell,RetributionSpellLevel,RetributionSpellTriggerHealth,HasAltMode,AltModeFlying,AltModeAnimation,PreferedTargetBuildingClass,NoAttackOverWalls,TargetGroups,FightWithGroups,TargetGroupsRadius,TargetGroupsRange,TargetGroupsMinWeight,SmoothJump,WakeUpSpeed,WakeUpSpace,FriendlyGroupWeight,EnemyGroupWeight,AttackEffectShared,TargetedEffectOffset,TriggersTraps
,,,,,1532,1,,1,10,,,,389,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,46,,,,,,,,,,,,4800,,,,,,,11,,725,300,,,,,,,,44,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1564,1,,1,10,,,,398,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,47,,,,,,,,,,,,4800,,,,,,,11,,725,300,,,,,,,,44,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1597,1,,1,10,,,,408,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,48,,,,,,,,,,,,4800,,,,,,,11,,725,300,,,,,,,,44,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1630,1,,1,10,,,,419,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,49,,,,,,,,,,,,5000,,,,,,,12,,819,325,,,,,,,,45,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1664,1,,1,11,,,,429,,,,,,,,,ArcherQueen arrow lvl3,ArcherQueen arrow rage2,,,,,,,,,,,,ArcherQueen_lvl4,,,,50,,,,,,,,,,,,5000,,,,,,,12,,819,325,,,,,,,,45,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1699,1,,1,11,,,,440,,,,,,,,,ArcherQueen arrow lvl3,ArcherQueen arrow rage2,,,,,,,,,,,,ArcherQueen_lvl4,,,,51,,,,,,,,,,,,5000,,,,,,,12,,819,325,,,,,,,,45,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1735,1,,1,11,,,,451,,,,,,,,,ArcherQueen arrow lvl3,ArcherQueen arrow rage2,,,,,,,,,,,,ArcherQueen_lvl4,,,,52,,,,,,,,,,,,5000,,,,,,,12,,819,325,,,,,,,,45,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1771,1,,1,11,,,,462,,,,,,,,,ArcherQueen arrow lvl3,ArcherQueen arrow rage2,,,,,,,,,,,,ArcherQueen_lvl4,,,,53,,,,,,,,,,,,5000,,,,,,,12,,819,325,,,,,,,,45,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1809,1,,1,11,,,,474,,,,,,,,,ArcherQueen arrow lvl3,ArcherQueen arrow rage2,,,,,,,,,,,,ArcherQueen_lvl4,,,,54,,,,,,,,,,,,8000,,,,,,,26,,1000,980,,,,,,,,46,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Warden,TID_GRAND_WARDEN,TID_HERO_INSTRUCTIONS_WARDEN,sc/characters.cs,200,1000,1,Elixir,1,11,700,1800,1050,50,1,,sc/ui.sc,icon_hero_grandwarden,unit_elder_big,sc/info_ancientelder.sc,unit_grandwarden_small,sc/ui.sc,,,,Grand Warden Deploy,GrandWarden Attack,GrandWarden Attack Air,Grand Warden Hit,false,true,true,true,,Grand Warden Die,elder_ground_lvl1,900,25,Building Ready,30,,Elixir,,Grand Warden Scream,70,-50,300,,true,WIZARD,1000,,true,0,,,,Wizard,10,FALSE,0,600,,,TID_HERO_ABILITY_WARDEN_TITLE,TID_HERO_ABILITY_WARDEN_DESC,icon_hero_grandwarden_ability1,unit_elder_ability_big,0,75,60,1300,,Growth,0,TID_HERO_AURA_WARDEN_TITLE,TID_HERO_AURA_WARDEN_DESC,unit_elder_ability_big,,,,,,TRUE,TRUE,elder_air_lvl1,,,,TRUE,500,1300,2000,TRUE,792,1,3000,500,Grand Warden Statue Attack,-50,true
,,,,,1021,1,,1,11,,,,52,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl1,,,,31,,,,,,,,,,,,,,,,,,,10,,100,600,,,,,,,,75,60,,,,1,,,,,,,,,,,elder_air_lvl1,,,,,,,,,,,,,,,
,,,,,1042,1,,1,11,,,,54,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl1,,,,32,,,,,,,,,,,,,,,,,,,10,,200,600,,,,,,,,75,60,,,,2,,,,,,,,,,,elder_air_lvl1,,,,,,,,,,,,,,,
,,,,,1064,1,,1,11,,,,56,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl1,,,,33,,,,,,,,,,,,,,,,,,,10,,300,600,,,,,,,,75,60,,,,3,,,,,,,,,,,elder_air_lvl1,,,,,,,,,,,,,,,
,,,,,1086,1,,1,11,,,,58,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl1,,,,34,,,,,,,,,,,,,,,,,,,10,,600,600,,,,,,,,76,61,,,,4,,,,Shield,0,,,,,,elder_air_lvl1,,,,,,,,,,,,,,,
,,,,,1108,1,,1,11,,,,60,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl1,,,,35,,,,,,,,,,,,,,,,,,,10,,400,600,,,,,,,,76,61,,,,5,,,,,0,,,,,,elder_air_lvl1,,,,,,,,,,,,,,,
,,,,,1131,1,,1,11,,,,63,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl1,,,,36,,,,,,,,,,,,,,,,,,,10,,400,600,,,,,,,,76,61,,,,6,,,,,0,,,,,,elder_air_lvl1,,,,,,,,,,,,,,,
,,,,,1155,1,,1,11,,,,66,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl1,,,,37,,,,,,,,,,,,,,,,,,,10,,400,600,,,,,,,,76,61,,,,7,,,,,0,,,,,,elder_air_lvl1,,,,,,,,,,,,,,,
,,,,,1180,1,,1,11,,,,69,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl1,,,,38,,,,,,,,,,,,,,,,,,,10,,400,600,,,,,,,,76,61,,,,8,,,,,0,,,,,,elder_air_lvl1,,,,,,,,,,,,,,,
,,,,,1206,1,,1,11,,,,72,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl2,,,,39,,,,,,,,,,,,,,,,,,,10,,400,600,,,,,,,,77,62,,,,9,,,,,1,,,,,,elder_air_lvl2,,,,,,,,,,,,,,,
,,,,,1233,1,,1,11,,,,75,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl2,,,,40,,,,,,,,,,,,,,,,,,,10,,400,600,,,,,,,,77,62,,,,10,,,,,1,,,,,,elder_air_lvl2,,,,,,,,,,,,,,,
,,,,,1261,1,,1,11,,,,78,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl2,,,,41,,,,,,,,,,,,,,,,,,,10,,400,600,,,,,,,,77,62,,,,11,,,,,1,,,,,,elder_air_lvl2,,,,,,,,,,,,,,,
,,,,,1290,1,,1,11,,,,82,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl2,,,,42,,,,,,,,,,,,,,,,,,,10,,400,600,,,,,,,,77,62,,,,12,,,,,1,,,,,,elder_air_lvl2,,,,,,,,,,,,,,,
,,,,,1320,1,,1,11,,,,86,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl2,,,,43,,,,,,,,,,,,,,,,,,,10,,400,600,,,,,,,,77,62,,,,13,,,,,1,,,,,,elder_air_lvl2,,,,,,,,,,,,,,,
,,,,,1350,1,,1,11,,,,90,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl2,,,,44,,,,,,,,,,,,,,,,,,,10,,400,600,,,,,,,,78,63,,,,14,,,,,2,,,,,,elder_air_lvl2,,,,,,,,,,,,,,,
,,,,,1380,1,,1,11,,,,94,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl2,,,,45,,,,,,,,,,,,,,,,,,,10,,400,600,,,,,,,,78,63,,,,15,,,,,2,,,,,,elder_air_lvl2,,,,,,,,,,,,,,,
,,,,,1410,1,,1,11,,,,98,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl2,,,,46,,,,,,,,,,,,,,,,,,,10,,400,600,,,,,,,,78,63,,,,16,,,,,2,,,,,,elder_air_lvl2,,,,,,,,,,,,,,,
,,,,,1440,1,,1,11,,,,102,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl2,,,,47,,,,,,,,,,,,,,,,,,,10,,400,600,,,,,,,,78,63,,,,17,,,,,2,,,,,,elder_air_lvl2,,,,,,,,,,,,,,,
,,,,,1470,1,,1,11,,,,106,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl2,,,,48,,,,,,,,,,,,,,,,,,,10,,400,600,,,,,,,,78,63,,,,18,,,,,2,,,,,,elder_air_lvl2,,,,,,,,,,,,,,,
,,,,,1500,1,,1,11,,,,110,,,,,,,,,,,,,,,,,,,,,,elder_ground_lvl2,,,,49,,,,,,,,,,,,,,,,,,,10,,400,600,,,,,,,,79,64,,,,19,,,,,3,,,,,,elder_air_lvl2,,,,,,,,,,,,,,,
P.E.K.K.A King,TID_PEKKA_KING,TID_PEKKA_KING_INFO,sc/characters.cs,200,1500,1,Gold,1,11,100,800,,80,1,,sc/ui.sc,icon_unit_pekka,unit_pekka_big,sc/info_pekka.sc,icon_unit_pekka,sc/ui.sc,,,,Pekka Deploy,Pekka Attack,,Pekka Hit,false,true,true,false,,Pekka Die,PEKKA,1000,25,Building Ready,30,,Elixir,,PEKKA,70,-50,300,King Ability Effect,true,PEKKA,2500,10000,true,15000,0,,50,PEKKA,10,,100,900,,,TID_HERO_ABILITY_BARBARIAN_TITLE,TID_HERO_ABILITY_BARBARIAN_DESC,icon_unit_pekka,unit_pekka_big,0,50,90,1300,0,,,,,,,,,,,,,,,,,,,,,,,,300,500,,-50,true
,,,,,1600,1,,1,11,,,,120,,,,,,,,,,,,,,,,,,,,,,PEKKA2,,,,30,,,,,,,,,,,,10000,,,4,,70,,10,,100,900,,,,,,,,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1800,1,,1,11,,,,250,,,,,,,,,,,,,,,,,,,,,,PEKKA3,,,,30,,,,,,,,,,,,10000,,,10,,90,,10,,200,900,,,,,,,,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2500,1,,1,11,,,,280,,,,,,,,,,,,,,,,,,,,,,PEKKA4,,,,30,,,,,,,,,,,,10000,,,15,,100,,10,,300,900,,,,,,,,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5000,1,,1,11,,,,300,,,,,,,,,,,,,,,,,,,,,,PEKKA5,,,,30,,,,,,,,,,,,10000,,,25,,150,,10,,400,900,,,,,,,,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant King,TID_GIANT_KING,TID_GIANT_KING_INFO,sc/characters.cs,200,1000,1,Gold,1,11,100,800,,60,1,,sc/ui.sc,icon_unit_giant,unit_giant_big,sc/info_giant.sc,icon_unit_giant,sc/ui.sc,,,,Giant Deploy,Giant Attack,,Giant Hit,false,false,true,true,,Giant Die,Giant,1000,25,Building Ready,30,,Elixir,,GIANT,70,-50,300,King Ability Effect,true,GIANT,2500,10000,true,15000,0,,60,Giant,10,,100,900,,,TID_HERO_ABILITY_BARBARIAN_TITLE,TID_HERO_ABILITY_BARBARIAN_DESC,icon_unit_giant,unit_giant_big,5,18,15,1300,0,,,,,,,,,,,,,,,,,,,,,,,,3000,500,,-50,true
,,,,,1100,1,,1,11,,,,80,,,,,,,,,,,,,,,,,,,,,,Giant,,,,30,,,,,,,,,,,,10000,,,4,,80,,10,,100,900,,,,,,,,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1600,1,,1,11,,,,120,,,,,,,,,,,,,,,,,,,,,,Giant2,,,,30,,,,,,,,,,,,10000,,,8,,100,,10,,100,900,,,,,,,,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1800,1,,1,11,,,,160,,,,,,,,,,,,,,,,,,,,,,Giant2,,,,30,,,,,,,,,,,,10000,,,12,,110,,10,,300,900,,,,,,,,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1990,1,,1,11,,,,180,,,,,,,,,,,,,,,,,,,,,,Giant3,,,,30,,,,,,,,,,,,10000,,,14,,120,,12,,300,900,,,,,,,,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2000,1,,1,11,,,,200,,,,,,,,,,,,,,,,,,,,,,Giant6,,,,30,,,,,,,,,,,,10000,,,16,,130,,12,,300,900,,,,,,,,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2500,1,,1,11,,,,220,,,,,,,,,,,,,,,,,,,,,,Giant7,,,,30,,,,,,,,,,,,10000,,,20,,140,,12,,300,900,,,,,,,,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5000,1,,1,11,,,,240,,,,,,,,,,,,,,,,,,,,,,Giant8,,,,30,,,,,,,,,,,,10000,,,25,,150,,15,,400,900,,,,,,,,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Wizard King,TID_ICE_WIZARD_KING,TID_ICE_WIZARD_KING_INFO,sc/characters.cs,200,900,1,Gold,1,11,100,800,,60,1,,sc/ui.sc,icon_unit_iceWizard,unit_icewizard_big,sc/info_icewizard.sc,icon_unit_iceWizard,sc/ui.sc,,,,IceWizard Deploy,IceWizard_attack,,IceWizard Hit1,false,true,true,false,,Ice Wizard Die,Ice Wizard1,1000,25,Building Ready,30,,Elixir,,Ice Wizard,70,-50,300,King Ability Effect,true,Ice Wizard_xmas,2500,100000,true,15000,0,,60,Ice Wizard_xmas,10,,100,900,,,TID_HERO_ABILITY_BARBARIAN_TITLE,TID_HERO_ABILITY_BARBARIAN_DESC,icon_unit_iceWizard,unit_icewizard_big,0,19,16,1300,0,,,,,,,,,,,,,,,,,,,,,,,,3000,500,,-50,true
,,,,,1100,1,,1,11,,,,80,,,,,,,,,,,,,,,,,,,,,,Ice Wizard1,,,,30,,,,,,,,,,,,100000,,,4,,80,,10,,100,900,,,,,,,,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1400,1,,1,11,,,,100,,,,,,,,,,,,,,,,,,,,,,Ice Wizard1,,,,30,,,,,,,,,,,,100000,,,12,,90,,12,,200,900,,,,,,,,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2500,1,,1,11,,,,180,,,,,,,,,,,,,,,,,,,,,,Ice Wizard1,,,,30,,,,,,,,,,,,100000,,,18,,100,,12,,300,900,,,,,,,,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5000,1,,1,11,,,,200,,,,,,,,,,,,,,,,,,,,,,Ice Wizard1,,,,30,,,,,,,,,,,,100000,,,25,,150,,15,,400,900,,,,,,,,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
